direction,target,pc_count,lags,F,pvalue,nobs,df_num,df_den
PCs -> SPY,SPY,5,1,0.2402559511052427,0.9438380712550322,119,5,112
PCs -> SPY,SPY,5,2,0.4957351293756318,0.8894337937022204,118,10,105
PCs -> SPY,SPY,10,1,0.5617093561192935,0.8416657898881467,119,10,107
PCs -> SPY,SPY,10,2,0.9641734968163215,0.5111421272138778,118,20,95
PCs -> SPY,SPY,13,1,0.4767524635975356,0.9331757683300695,119,13,104
PCs -> SPY,SPY,13,2,0.9877944337356459,0.49240176352385345,118,26,89
SPY -> PC,PC1,1,1,0.580482845572847,0.44766942890498673,119,1,116
SPY -> PC,PC2,1,1,0.3813362876679521,0.5380993055760559,119,1,116
SPY -> PC,PC3,1,1,1.4564238736251638,0.2299552605992468,119,1,116
SPY -> PC,PC4,1,1,0.003330371772991427,0.954079419431507,119,1,116
SPY -> PC,PC5,1,1,2.3045937161818677,0.13171274456443574,119,1,116
SPY -> PC,PC6,1,1,3.537987982014197,0.06248547323233442,119,1,116
SPY -> PC,PC7,1,1,1.0519381887287313,0.3071951657954527,119,1,116
SPY -> PC,PC8,1,1,1.794034214403414,0.1830538155213235,119,1,116
SPY -> PC,PC9,1,1,0.057829869516760245,0.8103838779490533,119,1,116
SPY -> PC,PC10,1,1,1.0322698671416533,0.31174058728541704,119,1,116
SPY -> PC,PC11,1,1,0.10554714685534461,0.7458569208043615,119,1,116
SPY -> PC,PC12,1,1,0.8582095468326993,0.35616361204265223,119,1,116
SPY -> PC,PC13,1,1,8.535989859038531e-05,0.9926442864723684,119,1,116
SPY -> PC,PC1,1,2,1.822550258420043,0.16633157923918496,118,2,113
SPY -> PC,PC2,1,2,2.2471052741331756,0.11040827892917418,118,2,113
SPY -> PC,PC3,1,2,4.222645403286811,0.017038198930954228,118,2,113
SPY -> PC,PC4,1,2,0.8382015886104526,0.43515853470757515,118,2,113
SPY -> PC,PC5,1,2,1.2275262532216569,0.29689355526500716,118,2,113
SPY -> PC,PC6,1,2,5.347045197086484,0.006042495134311994,118,2,113
SPY -> PC,PC7,1,2,1.6836165692459706,0.19032552733835661,118,2,113
SPY -> PC,PC8,1,2,0.8454681972440556,0.4320539586218285,118,2,113
SPY -> PC,PC9,1,2,0.08687465819338096,0.916853172163759,118,2,113
SPY -> PC,PC10,1,2,0.8285029834549676,0.43933755966286625,118,2,113
SPY -> PC,PC11,1,2,0.9507860987970387,0.3895064782733241,118,2,113
SPY -> PC,PC12,1,2,1.0137353731973933,0.36613675029470444,118,2,113
SPY -> PC,PC13,1,2,0.2511800235948904,0.7783154752194145,118,2,113
