model,pc_count,horizon,n_months,start,end,ann_return,ann_volatility,sharpe,ann_excess_return_vs_spy,excess_sharpe_vs_spy,max_drawdown,avg_monthly_turnover,spy_ann_return,spy_sharpe,equal_weight_ann_return,equal_weight_sharpe
OLS,5,1,59,2021-06-01,2026-04-01,0.2885952079499545,0.15473049533361194,1.7302590817831662,0.13118602124386705,1.2011842060452604,-0.09710159246340633,0.34482758620689646,0.1310191237902285,0.8463659148212116,0.10964239751577964,0.7716661528005175
OLS,10,1,59,2021-06-01,2026-04-01,0.34129639785701826,0.15832131478132777,1.9543972791012747,0.17288492329644062,1.9111219167490157,-0.1221674973991993,0.3390804597701149,0.1310191237902285,0.8463659148212116,0.10964239751577964,0.7716661528005175
OLS,13,1,59,2021-06-01,2026-04-01,0.3144303145924068,0.16551007463396847,1.7507263568732485,0.1532250264538243,1.682472879496871,-0.12216749739919941,0.44252873563218387,0.1310191237902285,0.8463659148212116,0.10964239751577964,0.7716661528005175
Ridge,5,1,59,2021-06-01,2026-04-01,0.20296146826149908,0.14004008654083736,1.397856048743845,0.05921805850179821,0.8178700325326544,-0.15625568054975336,0.14942528735632182,0.1310191237902285,0.8463659148212116,0.10964239751577964,0.7716661528005175
Ridge,10,1,59,2021-06-01,2026-04-01,0.26390529575090205,0.1702042298633855,1.4714619586227113,0.1139112259047246,1.956325435650271,-0.18232039664337052,0.293103448275862,0.1310191237902285,0.8463659148212116,0.10964239751577964,0.7716661528005175
Ridge,13,1,59,2021-06-01,2026-04-01,0.2873564429954514,0.18050631517170804,1.5008433629237228,0.13437388155535296,2.045778221562856,-0.17764087914249516,0.4022988505747127,0.1310191237902285,0.8463659148212116,0.10964239751577964,0.7716661528005175
Lasso,5,1,59,2021-06-01,2026-04-01,0.22650281971927444,0.17802029655058618,1.2419525870136017,0.0845549443060063,1.5039952601519386,-0.16073575186440292,0.20689655172413793,0.1310191237902285,0.8463659148212116,0.10964239751577964,0.7716661528005175
Lasso,10,1,59,2021-06-01,2026-04-01,0.21737095754508928,0.18122957713236887,1.1815842006676922,0.07760018149737115,1.2796991171762448,-0.20655951778112625,0.28160919540229884,0.1310191237902285,0.8463659148212116,0.10964239751577964,0.7716661528005175
Lasso,13,1,59,2021-06-01,2026-04-01,0.2036973951776213,0.1849191544526111,1.0999817227456525,0.06686986654752976,1.117375685728226,-0.2677590506682196,0.3160919540229885,0.1310191237902285,0.8463659148212116,0.10964239751577964,0.7716661528005175
ElasticNet,5,1,59,2021-06-01,2026-04-01,0.21495986018187252,0.17390632659727856,1.2123418261804526,0.07429609003535614,1.2587285111531974,-0.2079437127841851,0.21264367816091956,0.1310191237902285,0.8463659148212116,0.10964239751577964,0.7716661528005175
ElasticNet,10,1,59,2021-06-01,2026-04-01,0.24086857183956578,0.18132379527202486,1.2883975742788605,0.09707931445159075,1.5720366513374366,-0.20953181955333466,0.30459770114942525,0.1310191237902285,0.8463659148212116,0.10964239751577964,0.7716661528005175
ElasticNet,13,1,59,2021-06-01,2026-04-01,0.2265113988250409,0.180851705458162,1.226067650835206,0.08519860212470647,1.3644608643400526,-0.2562794270708958,0.3793103448275862,0.1310191237902285,0.8463659148212116,0.10964239751577964,0.7716661528005175
