direction,target_type,target,pc_count,lags,F,pvalue,nobs,df_num,df_den
PCs -> target,raw_sector_return,Materials,5,1,0.43456877863142795,0.8236240925807874,119,5,112
PCs -> target,raw_sector_return,Communication Services,5,1,0.7243832949706229,0.6069438881779133,94,5,87
PCs -> target,raw_sector_return,Energy,5,1,0.9275979251328015,0.46597521551072574,119,5,112
PCs -> target,raw_sector_return,Financials,5,1,0.24148490609830014,0.9432409574312511,119,5,112
PCs -> target,raw_sector_return,Industrials,5,1,0.18297162852048496,0.9685138932551891,119,5,112
PCs -> target,raw_sector_return,Technology,5,1,0.7763784931342397,0.56874334476001,119,5,112
PCs -> target,raw_sector_return,Consumer Staples,5,1,0.28999629498444107,0.9176560100028401,119,5,112
PCs -> target,raw_sector_return,Real Estate,5,1,0.5114365594903757,0.7671222897823003,119,5,112
PCs -> target,raw_sector_return,Utilities,5,1,0.2224358696625932,0.9521895954556524,119,5,112
PCs -> target,raw_sector_return,Health Care,5,1,0.20331791091860346,0.9604847796442708,119,5,112
PCs -> target,raw_sector_return,Consumer Discretionary,5,1,0.3601386506398614,0.8747420961045247,119,5,112
PCs -> target,raw_sector_return,Materials,5,2,0.5044766251357213,0.8835320415316676,118,10,105
PCs -> target,raw_sector_return,Communication Services,5,2,1.0361961614897843,0.4213932056955458,93,10,80
PCs -> target,raw_sector_return,Energy,5,2,0.967164991817771,0.47640097762880573,118,10,105
PCs -> target,raw_sector_return,Financials,5,2,0.4255181517630272,0.9313323338620169,118,10,105
PCs -> target,raw_sector_return,Industrials,5,2,0.2883300933339561,0.9825415001847968,118,10,105
PCs -> target,raw_sector_return,Technology,5,2,0.9151588387917406,0.5223194433372881,118,10,105
PCs -> target,raw_sector_return,Consumer Staples,5,2,0.776231798588258,0.6513139686346717,118,10,105
PCs -> target,raw_sector_return,Real Estate,5,2,1.1335793030486088,0.3446211118656133,118,10,105
PCs -> target,raw_sector_return,Utilities,5,2,0.31290268724595033,0.9763341488711572,118,10,105
PCs -> target,raw_sector_return,Health Care,5,2,0.3249142261217362,0.9728489495562981,118,10,105
PCs -> target,raw_sector_return,Consumer Discretionary,5,2,0.7109827220646745,0.712384841168382,118,10,105
PCs -> target,raw_sector_return,Materials,10,1,0.5059199976684824,0.8826276500668147,119,10,107
PCs -> target,raw_sector_return,Communication Services,10,1,1.4834903109159743,0.16043416096364058,94,10,82
PCs -> target,raw_sector_return,Energy,10,1,0.9592101491176264,0.4831885596661224,119,10,107
PCs -> target,raw_sector_return,Financials,10,1,1.1175941347108713,0.355922880209636,119,10,107
PCs -> target,raw_sector_return,Industrials,10,1,0.6065803722336427,0.8052824167595576,119,10,107
PCs -> target,raw_sector_return,Technology,10,1,0.8675081038449252,0.5657719498590645,119,10,107
PCs -> target,raw_sector_return,Consumer Staples,10,1,0.22713569019283192,0.9931199180171139,119,10,107
PCs -> target,raw_sector_return,Real Estate,10,1,0.4321898618497944,0.9278636482961472,119,10,107
PCs -> target,raw_sector_return,Utilities,10,1,0.4303465552349057,0.9288506220922168,119,10,107
PCs -> target,raw_sector_return,Health Care,10,1,0.2803366463981569,0.9843290213712745,119,10,107
PCs -> target,raw_sector_return,Consumer Discretionary,10,1,0.4591932116468418,0.9125774766887391,119,10,107
PCs -> target,raw_sector_return,Materials,10,2,0.9975103790751564,0.47257725262683903,118,20,95
PCs -> target,raw_sector_return,Communication Services,10,2,2.0195333970161724,0.016516320785044423,93,20,70
PCs -> target,raw_sector_return,Energy,10,2,1.2381503118519357,0.24181153585510887,118,20,95
PCs -> target,raw_sector_return,Financials,10,2,1.5749219596313813,0.0753152943648086,118,20,95
PCs -> target,raw_sector_return,Industrials,10,2,1.050178597576271,0.41427169882170833,118,20,95
PCs -> target,raw_sector_return,Technology,10,2,0.792580507046687,0.7162252441623149,118,20,95
PCs -> target,raw_sector_return,Consumer Staples,10,2,0.6601012285056095,0.8549430267176744,118,20,95
PCs -> target,raw_sector_return,Real Estate,10,2,0.8468404120955663,0.651952085924644,118,20,95
PCs -> target,raw_sector_return,Utilities,10,2,0.5328025587801548,0.9454124476971223,118,20,95
PCs -> target,raw_sector_return,Health Care,10,2,0.6253622276628812,0.8844865887022404,118,20,95
PCs -> target,raw_sector_return,Consumer Discretionary,10,2,0.8915353757462372,0.5979685139344413,118,20,95
PCs -> target,raw_sector_return,Materials,13,1,0.6689507981290378,0.7889416308401803,119,13,104
PCs -> target,raw_sector_return,Communication Services,13,1,1.866601753462745,0.04700965121021208,94,13,79
PCs -> target,raw_sector_return,Energy,13,1,0.9304806591947871,0.5247203669612104,119,13,104
PCs -> target,raw_sector_return,Financials,13,1,0.8401777078235854,0.6171492035952573,119,13,104
PCs -> target,raw_sector_return,Industrials,13,1,0.6059481508576634,0.84439476872879,119,13,104
PCs -> target,raw_sector_return,Technology,13,1,0.8192571286087333,0.6388302815577656,119,13,104
PCs -> target,raw_sector_return,Consumer Staples,13,1,0.2588870030016858,0.9955392459565622,119,13,104
PCs -> target,raw_sector_return,Real Estate,13,1,0.37908442022112365,0.9737195362445309,119,13,104
PCs -> target,raw_sector_return,Utilities,13,1,0.3587021116764337,0.9793512159432401,119,13,104
PCs -> target,raw_sector_return,Health Care,13,1,0.2501565008189935,0.9962399916666049,119,13,104
PCs -> target,raw_sector_return,Consumer Discretionary,13,1,0.4002381405414296,0.9668870227360437,119,13,104
PCs -> target,raw_sector_return,Materials,13,2,1.141459082358055,0.3155274916565236,118,26,89
PCs -> target,raw_sector_return,Communication Services,13,2,2.074163375762773,0.009475600838497796,93,26,64
PCs -> target,raw_sector_return,Energy,13,2,1.058330445748682,0.4061062424365281,118,26,89
PCs -> target,raw_sector_return,Financials,13,2,1.586968132473828,0.057763792770813414,118,26,89
PCs -> target,raw_sector_return,Industrials,13,2,1.0947462916520139,0.3647670115737893,118,26,89
PCs -> target,raw_sector_return,Technology,13,2,0.7875868416979772,0.7514676886865821,118,26,89
PCs -> target,raw_sector_return,Consumer Staples,13,2,0.8662369832343247,0.6515060047305656,118,26,89
PCs -> target,raw_sector_return,Real Estate,13,2,0.8921502178700487,0.617372080949853,118,26,89
PCs -> target,raw_sector_return,Utilities,13,2,0.7212926128857191,0.8268978969532325,118,26,89
PCs -> target,raw_sector_return,Health Care,13,2,0.8922685577216711,0.6172157307418572,118,26,89
PCs -> target,raw_sector_return,Consumer Discretionary,13,2,0.9863532892538869,0.4942351296043732,118,26,89
PCs -> target,sector_excess_return,Materials_excess,5,1,0.43652104750338816,0.8222263840781392,119,5,112
PCs -> target,sector_excess_return,Communication Services_excess,5,1,1.6264226190073987,0.1614733337832809,94,5,87
PCs -> target,sector_excess_return,Energy_excess,5,1,0.8554536316805635,0.5135431318536141,119,5,112
PCs -> target,sector_excess_return,Financials_excess,5,1,1.512500446842047,0.19155348020165577,119,5,112
PCs -> target,sector_excess_return,Industrials_excess,5,1,0.09409538345974745,0.9929845166689718,119,5,112
PCs -> target,sector_excess_return,Technology_excess,5,1,1.0944871784579606,0.36748527596438113,119,5,112
PCs -> target,sector_excess_return,Consumer Staples_excess,5,1,0.09373587953754288,0.9930467607552836,119,5,112
PCs -> target,sector_excess_return,Real Estate_excess,5,1,0.24243648628597525,0.942776778652063,119,5,112
PCs -> target,sector_excess_return,Utilities_excess,5,1,0.0916908814510168,0.9933951404608068,119,5,112
PCs -> target,sector_excess_return,Health Care_excess,5,1,0.2729372649793747,0.9270828911473862,119,5,112
PCs -> target,sector_excess_return,Consumer Discretionary_excess,5,1,0.6165333212657578,0.6874328689927495,119,5,112
PCs -> target,sector_excess_return,Materials_excess,5,2,1.7899183214595453,0.07125895996743749,118,10,105
PCs -> target,sector_excess_return,Communication Services_excess,5,2,1.3668314262747414,0.2108923589899896,93,10,80
