direction,target,lags,F,pvalue,nobs,df_num,df_den
complete sectors -> PC,PC1,1,0.6661815229539859,0.7533515629688544,119,10,107
complete sectors -> PC,PC2,1,0.528159585782262,0.8669293748603689,119,10,107
complete sectors -> PC,PC3,1,0.7125910970799039,0.7109407552910436,119,10,107
complete sectors -> PC,PC4,1,0.4801167410316841,0.8996964495884223,119,10,107
complete sectors -> PC,PC5,1,0.41311771297864874,0.937719602623554,119,10,107
complete sectors -> PC,PC6,1,1.3566285514555392,0.21050166481419935,119,10,107
complete sectors -> PC,PC7,1,1.2959183869216269,0.2420378587905232,119,10,107
complete sectors -> PC,PC8,1,1.0653422616916097,0.3953634577056336,119,10,107
complete sectors -> PC,PC9,1,0.6405642097746693,0.7760950447003513,119,10,107
complete sectors -> PC,PC10,1,1.0988663991053327,0.3697511421963095,119,10,107
complete sectors -> PC,PC11,1,1.0048775365476517,0.4442167113573364,119,10,107
complete sectors -> PC,PC12,1,0.7254341259419015,0.6990035569144291,119,10,107
complete sectors -> PC,PC13,1,1.795626460696088,0.0699204924491863,119,10,107
complete sectors -> PC,PC1,2,0.975202453342628,0.49826346301183233,118,20,95
complete sectors -> PC,PC2,2,1.2413745774143923,0.23939051235278597,118,20,95
complete sectors -> PC,PC3,2,1.291690325146489,0.20394959345155975,118,20,95
complete sectors -> PC,PC4,2,0.9157167741776376,0.5687909182553246,118,20,95
complete sectors -> PC,PC5,2,0.6876921580817696,0.8291422792882857,118,20,95
complete sectors -> PC,PC6,2,2.1494918008003916,0.0073473174063585205,118,20,95
complete sectors -> PC,PC7,2,1.3226482889233429,0.184276267020375,118,20,95
complete sectors -> PC,PC8,2,0.9035709282466868,0.5834277267115084,118,20,95
complete sectors -> PC,PC9,2,0.9617973575438937,0.5139307706094591,118,20,95
complete sectors -> PC,PC10,2,1.0844665935330688,0.37840355427862016,118,20,95
complete sectors -> PC,PC11,2,0.7849150457617353,0.7250840791158979,118,20,95
complete sectors -> PC,PC12,2,1.684645910867665,0.04949750632214082,118,20,95
complete sectors -> PC,PC13,2,1.4992838273469422,0.09961543888514933,118,20,95
