direction,target,pc_count,lags,F,pvalue,nobs,df_num,df_den
PCs -> SPY,SPY,5,1,0.24025808682076213,0.9438370358932492,119,5,112
PCs -> SPY,SPY,5,2,0.4957343131202318,0.8894343380880477,118,10,105
PCs -> SPY,SPY,10,1,0.5617102873010045,0.8416650641006773,119,10,107
PCs -> SPY,SPY,10,2,0.964172948057291,0.5111427706867961,118,20,95
PCs -> SPY,SPY,13,1,0.4767532379644425,0.9331753538826971,119,13,104
PCs -> SPY,SPY,13,2,0.9877920747124471,0.4924047626719805,118,26,89
SPY -> PC,PC1,1,1,0.5804867369863456,0.4476679105763124,119,1,116
SPY -> PC,PC2,1,1,0.3813402807923977,0.5380971811172364,119,1,116
SPY -> PC,PC3,1,1,1.4564154488515468,0.2299565999399691,119,1,116
SPY -> PC,PC4,1,1,0.0033298666278602303,0.9540828982440501,119,1,116
SPY -> PC,PC5,1,1,2.304613231121778,0.13171112559223372,119,1,116
SPY -> PC,PC6,1,1,3.5379663496560556,0.06248626281486268,119,1,116
SPY -> PC,PC7,1,1,1.0519427032005237,0.30719413249004784,119,1,116
SPY -> PC,PC8,1,1,1.794009820854259,0.18305676956834843,119,1,116
SPY -> PC,PC9,1,1,0.057829252621208305,0.8103848698040013,119,1,116
SPY -> PC,PC10,1,1,1.0322553031917796,0.31174398567272005,119,1,116
SPY -> PC,PC11,1,1,0.10554528303304035,0.7458590862691897,119,1,116
SPY -> PC,PC12,1,1,0.8582185021249726,0.35616111179734833,119,1,116
SPY -> PC,PC13,1,1,8.54066207420687e-05,0.992642273713423,119,1,116
SPY -> PC,PC1,1,2,1.822564586617645,0.1663292704985459,118,2,113
SPY -> PC,PC2,1,2,2.247104502889429,0.11040836082380563,118,2,113
SPY -> PC,PC3,1,2,4.222665419772369,0.0170378816053172,118,2,113
SPY -> PC,PC4,1,2,0.8382111099591201,0.43515445199992975,118,2,113
SPY -> PC,PC5,1,2,1.2275354199087756,0.29689089161784366,118,2,113
SPY -> PC,PC6,1,2,5.3470167953193535,0.0060426519165637784,118,2,113
SPY -> PC,PC7,1,2,1.6836162709733271,0.19032558246458295,118,2,113
SPY -> PC,PC8,1,2,0.8454611939105466,0.43205693983936333,118,2,113
SPY -> PC,PC9,1,2,0.08687235326314148,0.9168552822044301,118,2,113
SPY -> PC,PC10,1,2,0.8284924742925008,0.4393421100314342,118,2,113
SPY -> PC,PC11,1,2,0.9507882881601729,0.38950563961611706,118,2,113
SPY -> PC,PC12,1,2,1.0137448211139948,0.36613335205354647,118,2,113
SPY -> PC,PC13,1,2,0.2511725179477253,0.7783212911473107,118,2,113
