target_type,target,horizon,pc_count,model,pc,coef
raw_sector_return,Materials,1,5,OLS,PC1,-0.015248240638501559
raw_sector_return,Materials,1,5,OLS,PC2,-0.00539364960407598
raw_sector_return,Materials,1,5,OLS,PC3,-0.0009880452602484303
raw_sector_return,Materials,1,5,OLS,PC4,0.0002747482725367149
raw_sector_return,Materials,1,5,OLS,PC5,0.000812799074351798
raw_sector_return,Materials,1,5,Ridge,PC1,-0.001075178434111699
raw_sector_return,Materials,1,5,Ridge,PC2,0.00011746177283837539
raw_sector_return,Materials,1,5,Ridge,PC3,0.00033598948720282336
raw_sector_return,Materials,1,5,Ridge,PC4,-0.0001432433792292052
raw_sector_return,Materials,1,5,Ridge,PC5,0.00012184494518417222
raw_sector_return,Materials,1,5,Lasso,PC1,-0.002552306638290787
raw_sector_return,Materials,1,5,Lasso,PC2,0.0
raw_sector_return,Materials,1,5,Lasso,PC3,0.0
raw_sector_return,Materials,1,5,Lasso,PC4,-0.0
raw_sector_return,Materials,1,5,Lasso,PC5,0.0
raw_sector_return,Materials,1,5,ElasticNet,PC1,-0.002341565723202556
raw_sector_return,Materials,1,5,ElasticNet,PC2,0.0
raw_sector_return,Materials,1,5,ElasticNet,PC3,0.0
raw_sector_return,Materials,1,5,ElasticNet,PC4,-0.0
raw_sector_return,Materials,1,5,ElasticNet,PC5,0.0
raw_sector_return,Communication Services,1,5,OLS,PC1,-0.011861267837913556
raw_sector_return,Communication Services,1,5,OLS,PC2,-0.0061700016577818356
raw_sector_return,Communication Services,1,5,OLS,PC3,-0.003027028662952754
raw_sector_return,Communication Services,1,5,OLS,PC4,0.007650198699784219
raw_sector_return,Communication Services,1,5,OLS,PC5,0.002577130913946996
raw_sector_return,Communication Services,1,5,Ridge,PC1,-0.000629973729748756
raw_sector_return,Communication Services,1,5,Ridge,PC2,-4.051185947017006e-05
raw_sector_return,Communication Services,1,5,Ridge,PC3,6.024140119781795e-05
raw_sector_return,Communication Services,1,5,Ridge,PC4,0.0005805768867057497
raw_sector_return,Communication Services,1,5,Ridge,PC5,0.0003750880660639943
raw_sector_return,Communication Services,1,5,Lasso,PC1,-0.0
raw_sector_return,Communication Services,1,5,Lasso,PC2,-0.0
raw_sector_return,Communication Services,1,5,Lasso,PC3,0.0
raw_sector_return,Communication Services,1,5,Lasso,PC4,0.0
raw_sector_return,Communication Services,1,5,Lasso,PC5,0.0
raw_sector_return,Communication Services,1,5,ElasticNet,PC1,-0.0
raw_sector_return,Communication Services,1,5,ElasticNet,PC2,-0.0
raw_sector_return,Communication Services,1,5,ElasticNet,PC3,0.0
raw_sector_return,Communication Services,1,5,ElasticNet,PC4,0.0
raw_sector_return,Communication Services,1,5,ElasticNet,PC5,0.0
raw_sector_return,Energy,1,5,OLS,PC1,-0.023843844741808017
raw_sector_return,Energy,1,5,OLS,PC2,-0.019917800662047562
raw_sector_return,Energy,1,5,OLS,PC3,-0.005423266559937958
raw_sector_return,Energy,1,5,OLS,PC4,-0.004065344071607765
raw_sector_return,Energy,1,5,OLS,PC5,-0.006015144689667519
raw_sector_return,Energy,1,5,Ridge,PC1,-0.001227490385274546
raw_sector_return,Energy,1,5,Ridge,PC2,-0.0006776178743146559
raw_sector_return,Energy,1,5,Ridge,PC3,0.0004666056315631912
raw_sector_return,Energy,1,5,Ridge,PC4,-0.00067601359593482
raw_sector_return,Energy,1,5,Ridge,PC5,-0.0004934497896223904
raw_sector_return,Energy,1,5,Lasso,PC1,-0.0
raw_sector_return,Energy,1,5,Lasso,PC2,-0.0
raw_sector_return,Energy,1,5,Lasso,PC3,0.0
raw_sector_return,Energy,1,5,Lasso,PC4,-0.0
raw_sector_return,Energy,1,5,Lasso,PC5,-0.0
