keyword,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121
5g,-2.1156193372234955,-0.11124592503150793,0.3662043122826661,0.24876128689083732,0.24225377715597254,-0.2109026574058609,-0.19883356820560397,0.13943307954844372,0.22294332325383878,-0.18397779268343337,-0.05851877448144069,-0.012890887445121162,0.06495365762959866,-0.03569039779584888,0.09085800806433392,0.15976719518059238,-0.1501150025807335,-0.040427623708633086,-0.034791502487748385,0.17226104102823517,0.11209880863022088,0.11937839523119383,0.11374163747702609,-0.13364174078258462,-0.14609911284015636,-0.007500422632780387,-0.08073936449844112,0.10007942225153144,0.05676235973983148,0.06689274787984952,0.04275110069186343,-0.009616514177051711,-0.03816888926394456,-0.14183230437492816,0.014300729636141252,-0.004833246082353402,-0.011643361303584074,0.123298193358373,-0.0713773159263653,-0.05274314635846087,0.00294428999806904,0.10076695725424092,-0.05273965419989749,0.05972819651747561,-0.08202334532755365,0.09445276522108179,0.1613990051439211,0.026431700383325964,-0.021908529095456312,-0.02252948760778171,0.05382204025275252,-0.02731798778418512,0.0011260917092111705,-0.0058373009016768635,-0.03945348715776961,0.004151662539206254,-0.0320038826155792,0.0035914562324402726,-0.0014359193115434398,-0.028491912068231595,-0.017622063765720997,-0.005814831466764115,-0.039230572260477846,0.02728328019024602,-0.0020444360300892243,0.00447227110234743,0.011928159932221379,-0.012488647052140426,0.012565487542667798,0.009086841472267617,0.006644137602576191,0.006069240315599741,0.0013479292069404317,0.003572088084483723,0.001284163809892124,0.009211092114043464,0.019272864643424266,0.010543780331840046,-0.0032801978619609092,0.016443610765350124,-0.0025153764031620985,0.0015461309790096801,-0.0014393249017073879,-0.0067797927133541125,-0.009460734107674389,-0.006325224818471602,0.001258956482858477,0.0025485504250933014,-0.014039863095641163,0.005187832984985065,0.0020773029932413313,-0.001010574502754011,-0.0004638349260978857,0.000743858136027563,-0.005239897356187563,-0.00012105452925006135,0.004588569993117663,0.003562332187105937,-0.0014892436693349506,0.004517680399743585,-0.004376308126231168,0.0018073242446669834,-0.0051321795728645385,-0.00033566217521071256,-0.0010781496704393542,0.001122759372333014,0.0043796647833979725,-0.0044386615677858435,-0.0010395472479393095,0.00931297271255577,-0.002536441201315352,-0.0032525672455977583,0.0011573145712157238,-0.0010984758271136413,0.00317055550789622,-0.001585484851182161,4.4247345210632864e-05,-0.0026461617980718753,0.0018859874409439344,0.0002571890157194137,-0.00022277673136922025
advertising,-2.491878675619889,0.18453798146922476,-0.14545465336445798,-0.2958354526828094,0.018225008502474695,0.04681035296609383,0.0891888133204014,-0.04846333298088931,-0.061013779151165556,0.057269964220029425,0.04742624396703621,0.026107057879127607,-0.0375989959107008,-0.008183195040223152,-0.01971256348579734,-0.024048174763618955,0.028112554808518337,-0.010344782800181704,0.04790575999400836,0.03720540393271154,-0.0022668035456066314,-0.019956370079900945,-0.052685055395079713,-0.04571396723689154,-0.006394210899198724,-0.029788737903797668,0.007808639142226738,0.010897309666214269,-0.003817722202708684,0.009033785213633426,0.011687980651784316,0.011120445186194637,-0.0036821956963371105,-0.01216422222574483,0.015646334899609152,-0.016626401107767932,0.0026756767680921494,-0.011584994483752126,-0.031640085293850644,0.007371049104691466,-0.00917004910278513,0.015499208282824263,-0.010178427587101557,0.022648266892092813,0.007135302840171526,-0.026550469227157907,0.0008355002742674707,0.007582131329066401,0.0037380112573408538,-0.011423674370846652,-0.014455186882477288,-0.01255791031063368,-0.0028608673487098657,9.956901419285438e-05,-0.008948293708482971,0.012338649863833269,0.010186990548837165,-0.012362695119193998,0.014086807897802537,0.013947482984160068,-0.0051441397544653026,0.007543655669349314,0.003228234254352993,-0.005763898559151007,0.003601348860330856,0.015639794466099505,-0.009269824602053164,0.0037933055283230527,-0.006475136657620779,0.0032860803856297376,0.014555400315612907,-0.0010110996866861328,0.016797362673806965,-0.012468467670647807,-0.002486939289667326,0.010451833594493413,-0.01633676650408729,-0.007141614437028964,-0.0069738975985896776,-0.0015153657947299865,-0.011400711231520068,0.008717154971885504,-0.0008304570819549029,0.002326681933884479,0.00865822902758225,-0.0032064441627115423,0.01805391159939798,0.0003129486991074218,-0.0050034962548760106,-0.00192578398052333,0.0007657290016767748,-0.008886857042041122,0.00128108592017054,-0.0012330711968910747,-0.014602488796197447,-0.001746587162196261,0.004991009279340285,0.0042510720582040395,0.0036970314188812248,-0.004646852099988488,0.006692330171645946,-0.007029696063138533,-0.008011709151305144,0.00584133083960894,-0.013658194597830712,0.0066276075892890305,-0.0004941169031913701,-0.003986866567034509,0.0053623705253818404,-0.0019614469617508373,0.005115651904449999,-0.010548572850021455,0.004339416537249222,0.004074609306858743,0.001332393545762625,0.0015514300271592984,0.0019921995080965107,0.005897014801167971,-0.0007321393418382475,-0.0071461947374258815,-0.0028375013363378626
aerospace,-3.28788260707821,0.18132139712726475,-0.1044015285677332,-0.2983670206320631,-0.013856879665396664,0.03190988135412175,0.0175675125177508,-0.054221027389524015,-0.03886341847523853,7.266388297878313e-05,-0.017365074381088235,-0.03152202903114366,0.008253103868560256,-0.0001755567729423597,0.0009018226708279629,-0.01724041737436337,-0.003208320545636584,-0.020109438903163256,-0.004293609143620992,-0.03581016897219054,-0.02366728075000014,0.013067153621164306,-0.011121494702352203,-0.014016123273070448,0.00811832306305721,-0.0006979228693700458,0.00238515248751703,-0.0045391868871151025,0.01259791122862799,-0.009121077169890536,-0.004205283555366722,-0.008109480799659919,0.008469713666760054,0.015560265300695252,0.0015601708895742242,-0.012988792531158018,-0.004546074192866904,0.0006036215717521383,0.003752263507020707,0.012395887750472826,-0.0027799863719930526,0.007883798918672236,0.010812557412312305,0.005641480098447438,-0.004930225664820164,0.002162492710638934,-0.004645202509618506,-0.009178943754242972,-0.004029504959329699,-0.005940129251063108,0.00550340192314828,0.004993292913574794,-0.003975027056613412,-0.0112401750891284,-0.0019784264108416365,0.0019091453492506905,0.0045979136231647615,0.014865512450621395,-0.003608841614228476,0.0027038154937263663,-0.0038283612715941883,-0.006717484143436918,-0.005136729900644561,-0.015454718261293222,-0.007045464555527416,-0.005576172683415141,-0.002298297711674574,-0.00927765105281373,-0.003411648244051784,0.0037737190039080337,0.0017137319971601964,-0.01184247341992175,0.009493261799601208,0.008323668294841198,-0.005292608201892097,0.002641559560389567,0.0035518698076643933,-0.00555657302346792,-0.0056615407492935236,0.002790598149514115,0.005219442996740544,-0.0005357426003308501,0.0012717294733642394,-0.006391380401369904,0.012387433262506619,-0.0011412071593941,0.005569373231572752,-0.012724155852401258,0.005771656854856249,0.004604096114859047,0.0026675294824715333,-0.006130156915732356,0.003308066797366587,-0.0008826619627204591,0.002626554057319848,0.011789128511651847,-0.012398168529262487,0.017434203680174978,-0.008433511732941814,0.007587026006143052,-0.002730276363826378,0.009804930720083599,0.0006467417844610246,-0.00034961940145123317,0.00533143026983135,-0.010592337303709171,-0.004529588949264188,-0.002590424309757831,-0.0038291603119584975,-0.007242309072024956,-0.007167140730576004,0.0021662283611371177,-0.00703055373006825,-0.002323760923555669,-0.001513881142418584,-0.0010137846906605893,0.0020934386820050223,-0.006107035535373617,0.005132906389974283,0.0003435572333835341,-0.0009027133890348062
airlines,23.803182192216582,-4.179067527965226,-1.8090579690015893,-0.6539139243319855,-2.9571311896297288,0.7108302184964188,0.05938726691740698,1.3164862830674773,-1.6826628252098248,-0.5923412417776529,1.8845706666026214,0.20156104958523519,0.8266326899138702,0.19142987847458767,-0.31954068867036806,0.13309041149521492,-0.04711823117213412,0.08426357073673342,-0.0849816631268143,-0.14922904403409273,-0.15921127083410974,0.19064436846366284,-0.045037222943586155,-0.06030704215172324,-0.013486121031854433,0.0430547862196175,-0.06817090299904399,-0.014842269386346498,-0.11194565985921139,-0.014047368345895286,0.009559131939042518,0.037922843436616956,0.04526720287046535,-0.010844016397394362,-0.05138200530993611,-0.04456306276905019,0.006091268878964981,0.024658293483520888,0.018217873565174236,-0.028520404552173334,-0.017239317095648497,0.011130056385560565,-0.016271215002649764,0.0038286374824437,0.0033221535365421627,0.0012791611562370346,0.0004794377087769626,0.0007886821957783959,0.0020802566238412477,-0.0055086833576227425,0.0008430550453617757,-0.0011417651864427138,-0.0030167262967768596,0.006238756811930513,-0.00900239250428834,0.012377351859834561,-0.007213233892453343,-0.005703824232622373,0.0006168765398412016,0.0031546884675805725,-0.00021470556785937764,0.00568760691113551,0.0027393448632352184,0.001437579867478849,-0.004932848865792131,0.0019230841491836089,-0.003844511437073313,-0.0015594083289356508,-0.0013259393908502841,-0.0016243348955964911,0.0023707556699490953,0.0005258013119683985,-0.0012309057070330834,-0.00428302339044692,0.0005936161602126058,0.0006743883208581092,-0.001656307060508981,-0.003419809705754522,0.00026072521793423816,0.0028051205042759516,0.0032703357195706393,-3.708553841821375e-05,0.001503497438708212,0.0014478450826301101,0.001221922838941512,-0.0024646518390077153,-0.00042620576309521335,0.0010739384635682732,0.0011940938908983078,-0.001630853853062932,0.0007929077136476331,-0.00028755950521525597,0.0009193077897599436,-0.00030315155354317607,0.0007033487230737257,0.0009278098213671919,-0.00023905881774008677,-0.001201354213313109,0.0005140951973639731,-4.7452060772394664e-05,-0.000165893683193384,0.0009058585910114151,-0.00015697074413478776,0.0003168634891269481,-0.0006157030480877691,0.00020825466317266414,-0.000460142872585263,-2.3386361903572366e-05,-6.0852555704653484e-06,-0.0005610588420285107,-0.0006908391697281137,-0.0002861184735127359,-0.0007969062240876448,-0.0009656552079593046,0.00047771270566293204,0.00022184982283007332,-4.70742540695366e-05,-0.00017075456160497833,-9.013487921755656e-05,0.0001639405693203926,0.0002808601348101583
aluminum,0.14430301105844617,-0.30228224849587965,0.06484336014433204,0.055146900634940925,0.2858546803123537,-0.19397183840575483,0.31618050851335955,0.08541843361458533,0.034371037079362045,-0.15625289887844904,-0.14288940348559462,0.017907832577173127,0.08474755017452065,-0.15016856596401315,-0.13634928151476072,-0.017767242511640823,-0.06000905686848031,-0.0317695945895152,-0.1131253739846059,0.09820764136182764,-0.046200237637829794,-0.09022611069659212,0.08178165326599764,-0.08258315713372731,0.06127084007214877,0.01636733663877667,-0.014109437174127363,-0.06265571419178502,0.023204957585191473,0.0697906435818655,0.0369472073636513,-0.016015806044483966,0.03359600994796699,0.03252437449776335,-0.029760724431149323,0.012189980847789062,0.03602184593178697,0.01507819164342184,-0.004493509872894029,-0.007500568954301775,-0.01052687440938872,0.04155695828978344,-0.004290905016201525,0.009198057805359467,-0.0014274274853909373,0.013259211380665452,0.005075993101246635,0.03092197768461355,0.03743720313242811,-0.021112195054113946,0.02614377504836969,0.043875677132857616,-0.03157164512958938,0.012259781844576998,-0.013991409282121321,-0.010637889266588093,-0.036568105486030164,-0.02513049658355311,-0.036186130578146694,0.02417771636590578,0.06482087394686674,-0.007393829593557117,-0.021740178415238242,-0.015868434785060812,0.00657450868620933,0.016406482299450992,0.0024104147613307108,-0.010965744284293758,0.011847438724873474,0.0013727591578792354,0.015148092620761548,-0.030169868374989195,0.0011469974311636975,0.0439096566746512,-0.01917334733919466,-0.006650804250895098,-0.024522077930868507,-0.018240623905573336,0.021239788773647437,-0.003950306181319791,0.0060417257320693404,-0.006847041957527637,-0.003467841714271832,0.017539513001560293,-0.0012540207673879542,0.004230019724312218,0.017461240687144355,-0.0024693185579755562,0.011108727889159469,0.009171195627968871,0.005407737625842014,-0.010016405272873851,-0.00014376070870466369,-0.0006136523472931425,0.007097547485477344,-0.0038075274977578725,0.010246966593714428,0.0010227362613182255,0.00516520333648983,-0.002910374390074248,0.0036234600731268594,-0.004262373162429546,0.007101612080392179,-0.0003938386828375127,-0.00024254622149667344,-0.00566193182306338,-0.004960262137692668,0.0003012970235588276,0.008740614340511354,-0.0005073566999572678,0.0009529372596042386,0.00729769097644051,-0.005325995402742997,-0.00040997331501020824,-0.001822466002051307,-0.004870284829594739,-0.0056111808457864135,-0.0009348025329290478,-0.0012540047130329807,0.0005819584954929107,-0.0032905108496530176
amazon stock,-2.569982930967181,0.17204678484648,0.12041751459237227,-0.12977267292981506,-0.11060624923580083,0.02655864035706066,-0.1387412466212595,0.24098695006998072,0.04776258429131376,-0.008403235219565729,-0.0499092751780635,0.019432400643078235,-0.030432560945731244,0.11939628601469841,0.019733368937174537,-0.005089740323496743,-0.036844765678775246,0.04132080021529664,-0.008745912815317187,0.028864761537221104,0.008798128180740569,-0.03456562411453533,0.00551615714953614,0.035436983510072524,0.07017084454947752,0.040115936197836,-0.11441190691346467,0.029841068348869473,0.007654445389492726,0.01752026700460823,-0.06627632313695814,-0.009626194729941704,-0.019745751353446,-0.05307780106762029,-0.018290857240739228,-0.0755389638779379,-0.04500526839670803,-0.07589732683126552,-0.014595787905198138,0.03627605121288356,-0.01642618271816677,-0.06421423415582031,0.0009695093008089521,0.01847752812887558,0.03841019519824948,-0.052690613675700666,0.007283160107769092,0.007547818206675561,-0.002782548321227097,-0.00030515944317530277,-0.01873106698214053,0.04046605696057186,0.021429954941594706,0.03981235853426945,0.05902122959355845,-0.02895954142250398,0.0199965143173797,-0.0738060375835159,0.006914905561389844,-0.04975117162686912,-0.017290973405060955,0.010909140918111024,0.0007119337881147233,-0.008205469370369783,0.008447408461446985,0.01223134205971249,-0.010494411693972423,-0.02390057013296876,-0.0031677774440448695,0.02092606686378259,-0.028643685218368648,-0.0026499067433556674,-0.00108441499136735,0.00191441433844889,-0.012450319655850781,0.030742094714561578,0.008066139479899601,0.01008331842685097,-0.024052482501793104,-0.0015957612941505208,-0.0010770586097224933,0.012309162816655925,0.0016834610539442206,0.011519681723919673,0.00951822186997391,-0.020901131189042025,0.0037656526279083464,0.008527245484647167,-0.0006389188821614357,-0.016891102591028405,0.008154777442414936,-0.007911473457483232,0.0006806616948575399,-0.011191770869236645,0.012178629808885053,-0.004485190343075698,0.01774410193093979,-0.0004180232060864254,0.005565581601784406,0.008891268512368293,-0.003496694992631908,-0.0007089170860775833,-0.0029261783016006743,-0.007066003865058052,0.001801814671854211,0.0026549034945425615,0.010344604041519472,-0.00479062729637099,-0.0024714845767019444,0.001966808142963558,-0.0010715315673081865,0.006161918643503245,0.0019301580514367801,0.0026604187729798445,0.00624431500472382,0.0016052254371795875,-0.0005475405228855711,-0.0016478452414062479,0.0025712943371261677,-0.0014397743655475167,-0.0012277480053391801
amd stock,-3.247476489459453,0.16174773201239676,-0.06461479561280285,-0.25788834854847853,0.021107609811602604,0.037336264594479515,-0.02750361693999982,-0.04902162725612192,-0.03321527327329974,-0.006041125389329327,-0.04765095757876632,-0.023237850858908324,0.09291611912084907,0.005182763676636561,-0.024206607395377926,-0.022418701763091433,-0.015919914692467466,-0.021328481312182405,-0.0019461383946385727,-0.08254124891194885,-0.03287745739254288,0.003670022720705499,-0.006626340870399561,0.01521079650509644,0.008508746526620996,0.10307011357688976,-0.09950725855017323,0.0020084036794740267,0.015991526753097413,-0.02439712225393694,-0.044706946276913836,-0.04028523386616873,-0.00967903769184128,0.0306548852017992,-0.025774896822897863,-0.05739959029736735,-0.036489978776267126,0.07148800767713426,-0.023335015271112477,-0.0082188386226775,-0.017984257450786807,-0.02112195818786502,-0.045073653093517095,-0.03139476010876264,0.005036440719537517,-0.011548484243767605,-0.003271385001969014,-0.0355151976855858,0.0067185066950909466,-0.023975385052597237,0.003637499687638869,0.01830282709657296,0.015325829573579447,0.030006839737023623,0.04607302826689692,-0.04042365596724705,0.0423052210767105,-0.01591086504510155,-0.012776467621180463,-0.0013836297200497823,0.021155254481028892,0.007018664036882765,-0.012522588966942735,0.010254948337651606,0.014426742077620711,0.012724151315021639,0.028898766323185422,0.0068209733709035,-0.018688638426010092,0.011079245117402419,0.004821332741656339,-0.001987625381032303,0.00044842387110537277,-0.0031210393985814803,-0.008465756584219664,0.019131654907919318,-0.0011695056989956632,0.02219372969695439,0.034897071093239015,-0.020374837820457594,-0.01648334944161596,0.0022013727990139536,-0.024445691713391983,0.011165405394591908,-0.02575776403889652,0.009154427889457504,-0.01761107027331024,-0.007720206920159696,-0.014180418270422879,-0.007773673893410693,-0.016016546859844046,-0.003848020469475532,0.00334715614201149,0.0001767078336495004,-0.01084468616281681,-0.00355720687525491,0.008793846553470566,-0.0008492981814642068,-0.004369970240134973,-0.001285865309679937,-0.008970393271921142,0.005996371085116525,-0.001933349881784006,0.0014642815148997602,0.003299360512646001,-0.0033102916626464923,0.004357079693108464,0.004504201335417542,0.0014468998370743018,-0.005099046635409357,0.006051329515265019,-0.002550795972493572,-0.003348954059716056,0.004960394537213825,-0.0040844151783901985,-0.0062402487813932464,0.0034093846265504995,-0.00020217789532645878,8.349922669819158e-06,0.003651864501245471,0.00042522651016021687
api,-0.5060991780939691,-0.6289327666561985,-0.19319775751820928,0.08929009012453876,1.1781952240002695,-0.030853620505348234,0.3669637797011254,-0.1354041429772614,0.008476117208916036,0.09698434837221201,0.2892681617096923,0.036631495617768364,-0.22168200057546927,0.14511025822535792,0.09666851675409198,-0.08510845437036525,-0.18815049675438192,-0.14397431734896907,-0.05978818651486994,0.21827372181806493,-0.0020415678929131564,0.009949338778214616,-0.13917632550340725,-0.18687128468058065,0.16113548603889982,-0.19394167449285146,0.009414521665649078,0.1097420143253184,0.09978862914825419,-0.09298525682623424,-0.020916646541170175,0.07402071067036967,0.10437796198655483,-0.09992704413983756,-0.04950631802717496,0.08919757519574975,0.02991494707795709,-0.11821351083451032,0.05191829405766091,-0.027125351633454284,-0.0431637536860582,-0.01009826479224721,-0.0003990610713236592,0.11356369331057493,0.022956290262110993,0.0675671938805582,-0.03203875479299703,0.03432853489178938,-0.02396207647217127,-0.05717972244324549,-0.0395527941076708,-0.0025389978851006207,0.017544939222606432,0.02567950127439128,0.026769943458444842,0.04613336083990404,-0.030401986262902598,-0.014137289071893723,0.022029358706069205,-0.014116171051030713,0.020502084446747816,0.009615659040291238,0.014883360495111232,0.02125630162775545,-0.02323819149596867,0.015323310344730995,-0.0038203088644159487,0.006379573653043749,0.01032608212178449,-0.007419087284970841,0.004938667248099483,-0.005539017950609148,-0.0018844270345779353,0.0034900640054152253,0.005656484644138815,-0.0015184684271793822,0.009019409899589508,0.012543951412495804,-0.003074952656598794,-0.016660660826773175,0.002877885002150619,0.0026540971266117773,-0.02480240851885941,0.00579924192341617,0.006250538403544657,-0.0010001721561539495,-0.004100067335648891,-0.012891655211454791,0.0015745215928616755,0.0002286231590649075,-0.0018781884344419167,0.0020272510790217647,-0.002456925242805255,0.00483743358155016,0.0047194996380910325,-0.004678914778792313,0.0016533164978672949,-0.0013428882296553629,-0.001730886273362564,-0.00032614189440404573,0.0035778177643642317,-0.006222062904895216,0.001790778709356212,-0.00416134918973221,0.004009307000993402,-0.00019095542149537856,0.002357240593607152,0.003066226014271133,-0.007103265369365165,-0.0032704991996799133,8.40587591095911e-05,-0.005962091027622537,-0.0008434639549073636,-0.0027020684037746046,-0.0014159443721727693,-0.00042501900756558076,0.00048157477795454266,-7.684269256156128e-05,0.0008968675935183426,0.003138570394668063,0.00180495446810075
apple iphone,-0.9360932533070874,-0.004705475528661002,-0.16202481623216633,-0.053446416755102207,0.3517852777115486,0.039086633635000534,0.46008363941346053,-0.03808372875632416,0.26399054229591296,-0.07208386062268908,-0.02537055934975729,0.21145626498007417,-0.12873338649833208,-0.03232108668425823,0.10201190677059657,0.291978395632381,-0.053692232815979304,-0.08786881973841468,-0.015833800457054164,-0.2577479363991649,0.07473849187755467,-0.023416891207637833,0.17159704240682241,-0.12227382951316368,-0.006943593458170325,-0.09080876341690688,0.08198485906068938,-0.23282789460399614,-0.08285277173344395,0.0922956416651271,-0.08371581626884757,0.02937106745695372,0.13868432826636654,-0.1370450546571603,-0.002886116837216366,-0.08915206655454257,0.14383332968174461,0.11816600791462713,0.00857760841526371,0.05597835067396283,0.20306845047880498,0.05810776569901504,0.07545459846077733,0.016308580642696933,-0.00432449954110679,0.01285018384907988,-0.06524417477321649,0.03886115722571699,0.04859641825348154,-0.004461014967859214,0.03521806406974297,0.033941898229289905,0.012334801254979702,0.04489070045668494,0.015741762324987717,-0.004264470295610782,-0.00961517137019514,-0.03287868224902876,-0.0004219550466661582,0.009181905492911068,-0.019304243066415868,-0.023781436238380478,0.0008641528435738357,0.005368776414852594,-0.008681310595711145,0.01050612258227482,-0.008199076144816865,0.010460432427677604,0.024328453450784732,-0.00947765949521145,-0.017275480997304225,0.012569810562677265,0.010925876667436763,-0.007157255135119272,-0.004009544118060956,0.0024481137968233725,-0.006113717006457817,0.0165456049438222,0.0004012046982270375,-0.00010176745115019831,0.005052940930057797,-0.005141806180495738,0.003535993117958085,0.003073241332551336,0.012360393838479514,-0.004572918185916887,-0.004432645592501431,0.0040004020947711355,0.005733260525165208,-0.006242275978822236,-0.0022011216282193558,0.0028565369100408337,0.00569004105958081,0.004504554142069899,-0.006976596622468724,-0.004610945045172748,-0.005706598962774541,-0.0034076061616614426,-0.00029118107332029233,5.952030260433066e-05,-0.004564297057870004,0.00041518899147225053,-0.006187322821639632,-0.0014257655960647527,0.000382531172190271,0.0026777626011773034,-0.0025189881190008367,0.006585701718044484,-0.004301974481127537,-0.0019006279210095978,-0.001811177580334997,0.0007183760176136146,0.0027090038816755192,-0.0008278790473883382,-0.0007624445745346427,0.0005246155272430031,-0.0012544481578622597,5.178290907042548e-05,-0.0010448285580449527,0.0007934909360054674,0.0012935983167870662
apple stock,-2.6578575908749724,0.2774145750673203,0.2558706998029444,-0.07624096232514037,-0.12347093832292137,-0.1024151458638702,-0.1205734955651465,0.07054521452054505,0.12757136449923234,0.07303005564784408,-0.15129059522546676,0.018571614176714452,-0.05413644760551658,0.006414788770169796,-0.0023651080401300146,0.10730108632666795,0.0571231819507182,0.12696290879740343,0.01151464818075442,-0.05820321299522388,0.006507559959188784,-0.11877215674412928,0.0006206961659852009,0.03670800758616384,0.022524894417881462,0.010459046494919199,-0.07819216653758333,0.1440351612413083,-0.015084609338052512,-0.014786518646241698,-0.016395344669821184,-0.06028244499488265,-0.02965697259959007,-0.05865062571537109,-0.06313616869876987,-0.08975739319666202,-0.015559863247682037,0.14374617343650292,0.11220547659426112,0.006210861460018257,-0.03416994302293647,-0.027607971303583015,0.016382324725771558,-0.009513793626902984,0.1187824979275993,0.01004255292991095,0.10005043124906911,-0.03057069631213407,0.008226580890613186,0.0328402994194164,-0.10249106705808887,0.05353205618083352,0.0029845934241303123,-0.006335664810458506,-0.009266323972177113,0.041486971035174944,0.04458616971704178,-0.03897930153198709,0.0021165493092736147,0.007547556219920869,-0.0014220868576544365,-0.022792623343713965,0.018837876487768798,0.03744828349901329,-0.015508574820688764,-0.00857094662896705,-0.02278320372205478,-0.007764278905997435,0.041005046851013506,-0.015911893033838748,0.028619132102495698,0.011619151754424652,-0.020387154689128953,0.006155981657427137,0.011765067796365086,-0.02611667595537038,-0.013876400732989345,-0.0011878952642472974,-0.0030294739885596183,0.0015396805242338578,0.00037164225397799883,-0.0012597361237785413,0.0142032412518731,-0.007372371024711162,0.0007889485061578938,-0.0026314734486974725,-0.006777684655725942,-0.0032449125471649904,0.012078630446003923,-0.001063838429388779,0.006533908460944919,0.005768607832364688,-0.009073226788043214,-0.0019301825314085343,-0.0014644389008767026,0.00044920882713598924,0.0013695436537434545,0.0008834592670672853,0.00331755466639182,-0.0005250279385698946,-0.001511462760168542,-0.0035148192788143715,0.002345502848693076,-0.003438488742152111,0.0017154927335641017,-0.006236614091000831,-0.0018651339582724377,0.0005206172082117506,0.00011737225952122711,0.0007061992580737569,-0.0013235083237078742,-0.001569417557106348,-0.005532501515797637,-0.0016640673587976877,-0.003660712897272748,-0.0014980542489355089,0.0011859484266113914,-0.0020695323091636476,-0.0009995733621886288,-0.0014755892916501702,-5.264431234530751e-05
