date,keyword,interest
2016-05-01,stock market,10
2016-06-01,stock market,15
2016-07-01,stock market,10
2016-08-01,stock market,9
2016-09-01,stock market,10
2016-10-01,stock market,10
2016-11-01,stock market,24
2016-12-01,stock market,12
2017-01-01,stock market,11
2017-02-01,stock market,15
2017-03-01,stock market,13
2017-04-01,stock market,12
2017-05-01,stock market,11
2017-06-01,stock market,11
2017-07-01,stock market,10
2017-08-01,stock market,12
2017-09-01,stock market,10
2017-10-01,stock market,12
2017-11-01,stock market,14
2017-12-01,stock market,15
2018-01-01,stock market,19
2018-02-01,stock market,38
2018-03-01,stock market,21
2018-04-01,stock market,18
2018-05-01,stock market,13
2018-06-01,stock market,13
2018-07-01,stock market,13
2018-08-01,stock market,14
2018-09-01,stock market,13
2018-10-01,stock market,26
2018-11-01,stock market,19
2018-12-01,stock market,33
2019-01-01,stock market,23
2019-02-01,stock market,17
2019-03-01,stock market,15
2019-04-01,stock market,15
2019-05-01,stock market,18
2019-06-01,stock market,14
2019-07-01,stock market,14
2019-08-01,stock market,24
2019-09-01,stock market,14
2019-10-01,stock market,16
2019-11-01,stock market,15
2019-12-01,stock market,15
2020-01-01,stock market,19
2020-02-01,stock market,35
2020-03-01,stock market,100
2020-04-01,stock market,46
2020-05-01,stock market,30
2020-06-01,stock market,35
2020-07-01,stock market,25
2020-08-01,stock market,23
2020-09-01,stock market,25
2020-10-01,stock market,25
2020-11-01,stock market,28
2020-12-01,stock market,24
2021-01-01,stock market,40
2021-02-01,stock market,35
2021-03-01,stock market,26
2021-04-01,stock market,22
2021-05-01,stock market,21
2021-06-01,stock market,19
2021-07-01,stock market,19
2021-08-01,stock market,16
2021-09-01,stock market,18
2021-10-01,stock market,18
2021-11-01,stock market,21
2021-12-01,stock market,24
2022-01-01,stock market,26
2022-02-01,stock market,30
2022-03-01,stock market,25
2022-04-01,stock market,21
2022-05-01,stock market,31
2022-06-01,stock market,27
2022-07-01,stock market,17
2022-08-01,stock market,17
2022-09-01,stock market,22
2022-10-01,stock market,20
2022-11-01,stock market,19
2022-12-01,stock market,18
2023-01-01,stock market,17
2023-02-01,stock market,17
2023-03-01,stock market,20
2023-04-01,stock market,16
2023-05-01,stock market,15
2023-06-01,stock market,15
2023-07-01,stock market,13
2023-08-01,stock market,14
2023-09-01,stock market,12
2023-10-01,stock market,16
2023-11-01,stock market,16
2023-12-01,stock market,16
2024-01-01,stock market,15
2024-02-01,stock market,17
2024-03-01,stock market,16
2024-04-01,stock market,16
2024-05-01,stock market,15
2024-06-01,stock market,14
2024-07-01,stock market,14
2024-08-01,stock market,30
2024-09-01,stock market,15
2024-10-01,stock market,16
2024-11-01,stock market,24
2024-12-01,stock market,19
2025-01-01,stock market,22
2025-02-01,stock market,24
2025-03-01,stock market,40
2025-04-01,stock market,73
2025-05-01,stock market,24
2025-06-01,stock market,21
2025-07-01,stock market,28
2025-08-01,stock market,24
2025-09-01,stock market,22
2025-10-01,stock market,28
2025-11-01,stock market,28
2025-12-01,stock market,25
2026-01-01,stock market,27
2026-02-01,stock market,30
2026-03-01,stock market,39
2026-04-01,stock market,32
2026-05-01,stock market,21
