keyword,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01,2026-01-01,2026-02-01,2026-03-01,2026-04-01,2026-05-01
5g,9.090909090909092,6.666666666666667,10.0,11.11111111111111,10.0,10.0,4.0,8.333333333333332,7.6923076923076925,7.6923076923076925,7.142857142857142,8.333333333333332,8.333333333333332,9.090909090909092,10.0,8.333333333333332,10.0,8.333333333333332,6.666666666666667,6.666666666666667,11.11111111111111,5.405405405405405,10.0,10.526315789473683,15.384615384615383,14.285714285714285,15.384615384615383,15.384615384615383,23.076923076923077,12.0,14.285714285714285,12.12121212121212,22.727272727272727,35.294117647058826,31.25,46.666666666666664,36.84210526315789,40.0,42.857142857142854,25.0,40.0,31.25,40.0,56.25,35.0,30.555555555555557,17.0,75.55555555555556,41.37931034482759,31.428571428571427,37.03703703703704,50.0,48.0,68.0,48.27586206896552,57.692307692307686,32.5,33.33333333333333,46.15384615384615,52.17391304347826,57.14285714285714,78.94736842105263,73.68421052631578,93.75,68.42105263157895,77.77777777777779,71.42857142857143,62.5,84.61538461538461,62.06896551724138,61.53846153846154,63.63636363636363,45.16129032258064,51.85185185185185,77.77777777777779,76.47058823529412,54.54545454545454,57.14285714285714,55.00000000000001,66.66666666666666,64.70588235294117,70.58823529411765,52.38095238095239,68.75,73.33333333333333,80.0,84.61538461538461,73.33333333333333,91.66666666666666,68.75,68.75,73.33333333333333,62.5,58.82352941176471,58.82352941176471,56.25,64.28571428571429,71.42857142857143,71.42857142857143,33.33333333333333,66.66666666666666,56.25,37.5,50.0,45.45454545454545,34.61538461538461,22.5,12.32876712328767,41.66666666666667,50.0,64.28571428571429,50.0,45.45454545454545,34.48275862068966,48.27586206896552,56.00000000000001,62.96296296296296,82.75862068965517,41.02564102564102,100.0,84.21052631578947
advertising,81.81818181818183,53.333333333333336,80.0,88.88888888888889,90.0,81.81818181818183,40.0,61.53846153846154,69.23076923076923,78.57142857142857,71.42857142857143,84.61538461538461,75.0,72.72727272727273,80.0,66.66666666666666,90.0,69.23076923076923,66.66666666666666,46.666666666666664,42.10526315789473,23.076923076923077,36.36363636363637,47.368421052631575,57.14285714285714,50.0,50.0,50.0,53.84615384615385,33.33333333333333,38.095238095238095,17.647058823529413,34.78260869565217,52.94117647058824,50.0,60.0,36.84210526315789,46.666666666666664,50.0,24.0,57.14285714285714,50.0,43.75,37.5,40.0,22.22222222222222,7.000000000000001,14.000000000000002,23.333333333333332,17.142857142857142,25.0,26.08695652173913,30.76923076923077,26.923076923076923,23.333333333333332,25.0,15.0,16.666666666666664,23.076923076923077,30.434782608695656,28.57142857142857,31.57894736842105,30.0,29.411764705882355,31.57894736842105,36.84210526315789,33.33333333333333,20.833333333333336,22.22222222222222,26.666666666666668,32.0,39.130434782608695,22.58064516129032,21.428571428571427,33.33333333333333,35.294117647058826,31.818181818181817,40.0,38.095238095238095,36.84210526315789,38.88888888888889,44.44444444444444,33.33333333333333,50.0,43.75,40.0,42.857142857142854,42.857142857142854,61.53846153846154,47.05882352941176,41.17647058823529,46.666666666666664,43.75,52.94117647058824,50.0,47.05882352941176,46.666666666666664,42.857142857142854,40.0,20.0,43.75,41.17647058823529,28.000000000000004,31.57894736842105,31.818181818181817,30.76923076923077,20.0,10.81081081081081,32.0,34.78260869565217,34.48275862068966,32.0,43.47826086956522,31.03448275862069,37.93103448275862,38.46153846153847,44.44444444444444,60.0,34.146341463414636,42.42424242424242,38.095238095238095
aerospace,27.27272727272727,20.0,30.0,33.33333333333333,30.0,30.0,12.0,16.666666666666664,23.076923076923077,23.076923076923077,21.428571428571427,25.0,25.0,27.27272727272727,30.0,25.0,30.0,25.0,20.0,20.0,16.666666666666664,8.108108108108109,15.0,15.789473684210526,23.076923076923077,21.428571428571427,23.076923076923077,23.076923076923077,23.076923076923077,12.0,14.285714285714285,9.090909090909092,13.636363636363637,23.52941176470588,18.75,26.666666666666668,15.789473684210526,20.0,21.428571428571427,12.5,26.666666666666668,25.0,20.0,18.75,20.0,8.333333333333332,3.0,6.666666666666667,10.344827586206897,8.571428571428571,11.11111111111111,13.636363636363637,12.0,12.0,6.896551724137931,7.6923076923076925,7.5,8.333333333333332,11.538461538461538,13.043478260869565,14.285714285714285,15.789473684210526,15.789473684210526,18.75,15.789473684210526,16.666666666666664,14.285714285714285,8.333333333333332,11.538461538461538,10.344827586206897,11.538461538461538,13.636363636363637,9.67741935483871,11.11111111111111,16.666666666666664,17.647058823529413,13.636363636363637,14.285714285714285,15.0,16.666666666666664,17.647058823529413,23.52941176470588,19.047619047619047,18.75,20.0,20.0,23.076923076923077,26.666666666666668,33.33333333333333,25.0,25.0,20.0,25.0,23.52941176470588,23.52941176470588,25.0,28.57142857142857,28.57142857142857,21.428571428571427,13.333333333333334,26.666666666666668,25.0,16.666666666666664,15.0,18.181818181818183,19.230769230769234,12.5,5.47945205479452,16.666666666666664,22.727272727272727,17.857142857142858,25.0,22.727272727272727,17.24137931034483,17.24137931034483,20.0,25.925925925925924,24.13793103448276,20.51282051282051,24.24242424242424,26.31578947368421
airlines,1540.0,1071.428571428571,1500.0,1825.0,1575.0,1200.0,527.2727272727273,983.3333333333334,1133.3333333333337,1050.0,1166.6666666666663,1666.6666666666667,1500.0,1540.0,1500.0,1420.0,1320.0,1116.6666666666663,942.8571428571428,942.8571428571428,950.0,435.2941176470588,710.0,950.0,1283.3333333333337,1383.3333333333337,1416.6666666666663,1300.0,1200.0,566.6666666666667,744.4444444444445,426.6666666666667,750.0,937.5,1171.428571428571,1042.857142857143,844.4444444444445,1185.7142857142858,1383.3333333333337,663.6363636363636,1183.3333333333337,1014.2857142857142,914.2857142857142,928.5714285714288,833.3333333333334,431.25,164.44444444444443,121.73913043478262,228.57142857142856,256.25,266.66666666666663,310.0,266.66666666666663,291.66666666666663,246.15384615384616,290.90909090909093,188.88888888888889,250.0,433.3333333333333,527.2727272727273,655.5555555555555,766.6666666666667,755.5555555555555,737.5,577.7777777777777,762.5,580.0,518.1818181818181,566.6666666666667,561.5384615384615,745.4545454545454,770.0,535.7142857142857,630.7692307692307,987.5,912.5,660.0,688.8888888888889,711.1111111111111,766.6666666666667,912.5,900.0,777.7777777777777,928.5714285714288,985.7142857142858,1100.0,1250.0,1116.6666666666663,1033.3333333333337,800.0,828.5714285714287,814.2857142857142,1028.571428571429,775.0,985.7142857142858,885.7142857142858,957.1428571428572,1116.6666666666663,1000.0,461.5384615384615,757.1428571428571,757.1428571428571,454.54545454545456,600.0,590.0,458.3333333333333,300.0,157.57575757575756,481.8181818181818,590.0,500.0,518.1818181818181,509.99999999999994,384.61538461538464,423.0769230769231,500.0,491.6666666666667,414.28571428571433,361.11111111111114,366.66666666666663,911.1111111111112
aluminum,172.72727272727272,126.66666666666666,180.0,200.0,190.0,180.0,68.0,141.66666666666669,138.46153846153845,153.84615384615387,135.71428571428572,161.53846153846155,190.9090909090909,181.8181818181818,190.0,150.0,190.0,153.84615384615387,135.71428571428572,106.25,89.47368421052632,48.717948717948715,100.0,105.0,157.14285714285714,142.85714285714286,142.85714285714286,128.57142857142858,146.15384615384613,66.66666666666666,85.71428571428571,56.25,81.81818181818183,111.76470588235294,118.75,140.0,115.78947368421052,135.71428571428572,126.66666666666666,76.0,133.33333333333331,118.75,112.5,106.25,90.0,51.35135135135135,17.0,46.666666666666664,80.0,65.71428571428571,78.57142857142857,86.95652173913044,84.61538461538461,76.92307692307693,63.33333333333333,72.0,47.5,51.42857142857142,80.76923076923077,104.34782608695652,113.63636363636364,121.05263157894736,110.0,131.25,121.05263157894736,110.5263157894737,100.0,72.0,76.92307692307693,73.33333333333333,100.0,104.34782608695652,74.19354838709677,78.57142857142857,122.22222222222224,117.64705882352942,104.76190476190476,100.0,95.23809523809524,100.0,111.76470588235294,116.66666666666669,105.0,131.25,146.66666666666666,140.0,142.85714285714286,140.0,161.53846153846155,123.52941176470588,125.0,118.75,118.75,123.52941176470588,125.0,137.5,157.14285714285714,157.14285714285714,133.33333333333331,72.41379310344827,137.5,137.5,84.0,95.0,83.33333333333334,88.46153846153845,58.536585365853654,31.08108108108108,95.83333333333334,109.09090909090908,86.20689655172413,96.0,113.04347826086956,85.71428571428571,89.28571428571429,88.46153846153845,88.88888888888889,100.0,94.73684210526316,197.05882352941177,180.95238095238096
amazon stock,18.181818181818183,13.333333333333334,20.0,11.11111111111111,20.0,20.0,12.0,16.666666666666664,15.384615384615383,23.076923076923077,21.428571428571427,25.0,33.33333333333333,54.54545454545454,60.0,41.66666666666667,30.0,41.66666666666667,40.0,33.33333333333333,38.88888888888889,24.324324324324326,40.0,47.368421052631575,46.15384615384615,42.857142857142854,61.53846153846154,61.53846153846154,61.53846153846154,40.0,38.095238095238095,24.24242424242424,36.36363636363637,35.294117647058826,37.5,40.0,36.84210526315789,40.0,42.857142857142854,25.0,26.666666666666668,31.25,26.666666666666668,31.25,30.0,25.0,18.0,28.88888888888889,31.03448275862069,25.71428571428571,51.85185185185185,50.0,44.0,40.0,31.03448275862069,34.61538461538461,22.5,27.77777777777778,30.76923076923077,34.78260869565217,28.57142857142857,31.57894736842105,36.84210526315789,37.5,26.31578947368421,27.77777777777778,28.57142857142857,20.833333333333336,23.076923076923077,27.58620689655172,42.30769230769231,40.909090909090914,41.935483870967744,62.96296296296296,61.111111111111114,58.82352941176471,36.36363636363637,42.857142857142854,50.0,38.88888888888889,47.05882352941176,52.94117647058824,33.33333333333333,43.75,46.666666666666664,53.333333333333336,53.84615384615385,53.333333333333336,50.0,37.5,43.75,40.0,37.5,47.05882352941176,35.294117647058826,43.75,42.857142857142854,42.857142857142854,42.857142857142854,23.333333333333332,33.33333333333333,31.25,29.166666666666668,35.0,27.27272727272727,26.923076923076923,17.5,13.6986301369863,29.166666666666668,27.27272727272727,32.142857142857146,33.33333333333333,31.818181818181817,31.03448275862069,31.03448275862069,32.0,25.925925925925924,34.48275862068966,20.51282051282051,27.27272727272727,35.0
amd stock,9.090909090909092,6.666666666666667,10.0,11.11111111111111,10.0,10.0,4.0,16.666666666666664,15.384615384615383,30.76923076923077,28.57142857142857,16.666666666666664,33.33333333333333,36.36363636363637,40.0,25.0,30.0,25.0,20.0,13.333333333333334,16.666666666666664,5.405405405405405,10.0,10.526315789473683,15.384615384615383,21.428571428571427,23.076923076923077,30.76923076923077,46.15384615384615,20.0,14.285714285714285,9.090909090909092,13.636363636363637,17.647058823529413,12.5,20.0,15.789473684210526,20.0,21.428571428571427,12.5,13.333333333333334,12.5,20.0,18.75,20.0,11.11111111111111,5.0,8.88888888888889,10.344827586206897,11.428571428571429,18.51851851851852,18.181818181818183,16.0,16.0,10.344827586206897,11.538461538461538,10.0,11.11111111111111,11.538461538461538,13.043478260869565,14.285714285714285,15.789473684210526,15.789473684210526,25.0,10.526315789473683,16.666666666666664,19.047619047619047,12.5,11.538461538461538,13.79310344827586,11.538461538461538,13.636363636363637,12.903225806451612,11.11111111111111,16.666666666666664,17.647058823529413,13.636363636363637,14.285714285714285,10.0,11.11111111111111,11.76470588235294,11.76470588235294,9.523809523809524,12.5,26.666666666666668,26.666666666666668,23.076923076923077,26.666666666666668,16.666666666666664,12.5,18.75,26.666666666666668,37.5,35.294117647058826,35.294117647058826,31.25,35.714285714285715,35.714285714285715,42.857142857142854,20.0,20.0,31.25,16.666666666666664,25.0,22.727272727272727,23.076923076923077,10.0,5.47945205479452,20.833333333333336,22.727272727272727,25.0,29.166666666666668,22.727272727272727,37.93103448275862,27.58620689655172,20.0,18.51851851851852,20.689655172413794,10.256410256410255,21.21212121212121,63.1578947368421
api,118.1818181818182,100.0,130.0,155.55555555555557,130.0,130.0,50.0,92.3076923076923,107.6923076923077,107.14285714285714,114.28571428571428,125.0,133.33333333333331,145.45454545454547,127.27272727272728,116.66666666666669,140.0,115.38461538461536,107.14285714285714,86.66666666666667,73.68421052631578,38.46153846153847,71.42857142857143,78.94736842105263,115.38461538461536,107.14285714285714,107.14285714285714,107.14285714285714,100.0,55.55555555555556,66.66666666666666,36.36363636363637,63.63636363636363,88.23529411764706,93.75,87.5,78.94736842105263,100.0,107.14285714285714,56.00000000000001,107.14285714285714,93.75,87.5,68.75,70.0,37.83783783783784,13.0,31.91489361702128,46.875,42.857142857142854,57.14285714285714,63.63636363636363,53.84615384615385,42.30769230769231,30.0,37.5,25.0,33.33333333333333,46.15384615384615,45.83333333333333,54.54545454545454,63.1578947368421,60.0,75.0,63.1578947368421,63.1578947368421,54.54545454545454,41.66666666666667,53.84615384615385,53.333333333333336,65.38461538461539,78.26086956521739,53.125,62.96296296296296,94.11764705882352,105.88235294117648,76.19047619047619,76.19047619047619,80.0,78.94736842105263,100.0,111.11111111111111,100.0,111.76470588235294,126.66666666666666,133.33333333333331,130.76923076923077,120.0,141.66666666666669,106.25,106.25,100.0,112.5,111.11111111111111,111.76470588235294,112.5,135.71428571428572,135.71428571428572,120.0,58.06451612903226,121.42857142857142,112.5,68.0,80.0,90.9090909090909,84.61538461538461,52.38095238095239,29.87012987012987,84.0,117.3913043478261,125.0,115.38461538461536,118.1818181818182,93.10344827586206,131.0344827586207,153.84615384615387,181.4814814814815,246.66666666666669,178.0487804878049,196.96969696969697,131.57894736842107
apple stock,36.36363636363637,20.0,30.0,33.33333333333333,40.0,30.0,12.0,25.0,23.076923076923077,30.76923076923077,28.57142857142857,25.0,33.33333333333333,36.36363636363637,30.0,41.66666666666667,50.0,33.33333333333333,33.33333333333333,26.666666666666668,27.77777777777778,16.216216216216218,20.0,21.052631578947366,38.46153846153847,21.428571428571427,23.076923076923077,46.15384615384615,46.15384615384615,20.0,33.33333333333333,18.181818181818183,36.36363636363637,23.52941176470588,31.25,33.33333333333333,26.31578947368421,26.666666666666668,28.57142857142857,16.666666666666664,26.666666666666668,25.0,26.666666666666668,31.25,30.0,22.22222222222222,15.0,17.77777777777778,24.13793103448276,20.0,33.33333333333333,100.0,96.0,60.0,41.37931034482759,46.15384615384615,35.0,38.88888888888889,46.15384615384615,47.82608695652174,42.857142857142854,42.10526315789473,47.368421052631575,50.0,42.10526315789473,38.88888888888889,38.095238095238095,41.66666666666667,34.61538461538461,27.58620689655172,30.76923076923077,31.818181818181817,29.03225806451613,25.925925925925924,33.33333333333333,41.17647058823529,31.818181818181817,33.33333333333333,30.0,27.77777777777778,41.17647058823529,41.17647058823529,28.57142857142857,31.25,40.0,53.333333333333336,46.15384615384615,46.666666666666664,50.0,31.25,37.5,40.0,37.5,35.294117647058826,41.17647058823529,31.25,42.857142857142854,50.0,42.857142857142854,23.333333333333332,33.33333333333333,31.25,20.833333333333336,25.0,27.27272727272727,23.076923076923077,12.5,15.068493150684931,25.0,27.27272727272727,25.0,29.166666666666668,36.36363636363637,24.13793103448276,24.13793103448276,24.0,25.925925925925924,24.13793103448276,17.94871794871795,24.24242424242424,31.57894736842105
auto parts,318.1818181818182,260.0,440.00000000000006,411.1111111111111,310.0,290.0,137.5,291.66666666666663,246.15384615384616,223.0769230769231,307.69230769230774,291.66666666666663,400.0,418.1818181818182,390.0,300.0,310.0,284.61538461538464,250.0,193.33333333333337,155.55555555555557,80.0,210.0,194.44444444444443,246.15384615384616,284.61538461538464,271.42857142857144,271.42857142857144,269.2307692307692,130.76923076923077,147.61904761904762,100.0,163.63636363636363,206.25,300.0,266.66666666666663,205.26315789473685,260.0,300.0,166.66666666666669,250.0,218.75,226.66666666666663,206.25,163.1578947368421,91.66666666666666,34.0,71.73913043478261,127.58620689655172,108.33333333333331,144.44444444444443,159.0909090909091,136.0,152.0,113.79310344827589,128.0,84.21052631578947,82.85714285714286,130.76923076923077,147.82608695652172,150.0,189.4736842105263,178.94736842105263,206.25,157.89473684210526,166.66666666666669,142.85714285714286,108.0,107.6923076923077,103.33333333333334,140.0,134.7826086956522,103.33333333333334,125.92592592592592,200.0,194.1176470588235,131.8181818181818,145.0,125.0,147.05882352941177,135.29411764705884,138.88888888888889,130.0,162.5,180.0,180.0,200.0,173.33333333333334,192.30769230769232,150.0,143.75,140.0,140.0,129.41176470588235,135.29411764705884,143.75,164.28571428571428,192.30769230769232,160.0,82.75862068965517,140.0,131.25,83.33333333333334,110.5263157894737,90.9090909090909,73.07692307692307,53.65853658536586,27.77777777777778,83.33333333333334,100.0,100.0,103.84615384615384,100.0,88.88888888888889,79.3103448275862,88.0,92.3076923076923,76.66666666666667,58.97435897435898,75.0,95.23809523809524
